,arms,bench,broad,fortyyd,hands,heightinchestotal,tenyd,threecone,twentyss,twentyyd,vertical,weight,year,Player,Pos,injured_pct,position_group
404,0.0,19.0,0.0,4.45,0.0,74.0,0.0,0.0,0.0,0.0,0.0,225,2014,Quincy Enunwa,WR,0.0,WR
405,0.0,12.0,0.0,4.53,0.0,77.0,0.0,7.08,4.26,0.0,37.0,231,2014,Mike Evans,WR,0.06,WR
407,0.0,17.0,117.0,4.59,0.0,72.0,0.0,7.05,4.13,0.0,35.0,213,2014,Antone Exum,CB,0.44,DB
408,0.0,0.0,103.0,4.99,0.0,74.0,0.0,7.55,4.5,0.0,28.0,212,2014,David Fales,QB,0.09,QB
411,0.0,24.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,315,2014,Ego Ferguson,DT,0.58,DL
412,0.0,25.0,116.0,4.76,0.0,77.0,0.0,7.1,4.26,0.0,31.5,265,2014,C.J. Fiedorowicz,TE,0.03,TE
414,0.0,26.0,97.0,5.28,0.0,77.0,0.0,8.24,5.0,0.0,23.5,323,2014,Cameron Fleming,OT,0.56,OL
416,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,252,2014,Dee Ford,DE,0.02,DL
418,0.0,0.0,126.0,4.52,0.0,73.0,0.0,7.06,4.18,0.0,36.0,217,2014,Bennie Fowler,WR,0.09,WR
420,0.0,0.0,118.0,4.58,0.0,68.0,0.0,7.11,4.26,0.0,31.5,206,2014,Devonta Freeman,RB,0.06,RB
421,0.0,12.0,128.0,4.49,0.0,72.0,0.0,6.9,4.19,0.0,38.5,190,2014,Kyle Fuller,CB,0.5,DB
422,0.0,25.0,98.0,5.16,0.0,77.0,0.0,7.87,5.16,0.0,24.5,316,2014,Zach Fulton,OG,0.0,OL
424,0.0,15.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,190,2014,E.J. Gaines,CB,0.53,DB
425,0.0,11.0,122.0,4.38,0.0,72.0,0.0,6.62,4.04,0.0,36.5,193,2014,Phillip Gaines,CB,0.35,DB
427,0.0,0.0,110.0,4.97,0.0,74.0,0.0,7.04,4.26,0.0,30.5,226,2014,Jimmy Garoppolo,QB,0.12,QB
429,0.0,28.0,116.0,4.91,0.0,71.0,0.0,0.0,0.0,0.0,33.0,234,2014,Jeremiah George,ILB,0.19,LB
430,0.0,20.0,126.0,4.37,0.0,72.0,0.0,6.92,0.0,0.0,35.5,202,2014,Justin Gilbert,CB,0.15,DB
431,0.0,0.0,120.0,4.89,0.0,78.0,0.0,7.42,4.44,0.0,33.5,260,2014,Crockett Gillmore,TE,0.25,TE
432,0.0,11.0,123.0,4.52,0.0,71.0,0.0,6.8,4.34,0.0,37.0,194,2014,Demetri Goodson,CB,0.21,DB
433,0.0,8.0,119.0,4.64,0.0,72.0,0.0,6.68,4.11,0.0,35.5,199,2014,Ryan Grant,WR,0.0,WR
435,0.0,0.0,113.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,26.5,257,2014,Xavier Grimble,TE,0.19,TE
436,0.0,26.0,108.0,5.19,0.0,77.0,0.0,7.49,4.47,0.0,26.5,316,2014,Ryan Groy,OG,0.0,OL
437,0.0,32.0,114.0,5.02,0.0,78.0,0.0,7.87,0.0,0.0,35.5,310,2014,Ra'Shede Hageman,DT,0.0,DL
438,0.0,15.0,119.0,4.5,0.0,70.0,0.0,7.14,4.27,0.0,35.5,188,2014,Andre Hal,CB,0.03,DB
441,0.0,27.0,113.0,5.15,0.0,75.0,0.0,7.97,4.86,0.0,27.0,304,2014,Jonotthan Harrison,C,0.06,OL
442,0.0,21.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,281,2014,Taylor Hart,DE,0.12,DL
445,0.0,0.0,95.0,5.04,0.0,79.0,0.0,8.15,4.77,0.0,24.0,331,2014,Seantrel Henderson,OT,0.22,OL
446,0.0,18.0,125.0,4.48,0.0,69.0,0.0,6.84,4.27,0.0,35.5,193,2014,Robert Herron,WR,0.06,WR
447,0.0,0.0,109.0,4.87,0.0,76.0,0.0,7.04,4.35,0.0,33.0,246,2014,Ryan Hewitt,FB,0.03,FB
448,0.0,20.0,113.0,4.66,0.0,73.0,0.0,0.0,0.0,0.0,29.0,233,2014,Jeremy Hill,RB,0.02,RB
449,0.0,23.0,116.0,4.74,0.0,72.0,0.0,7.15,4.45,0.0,31.5,240,2014,Anthony Hitchens,OLB,0.0,LB
450,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,189,2014,Zach Hocker,K,0.06,ST
454,0.0,14.0,116.0,4.51,0.0,71.0,0.0,0.0,0.0,0.0,35.5,206,2014,Josh Huff,WR,0.12,WR
455,0.0,15.0,118.0,4.49,0.0,71.0,0.0,7.26,4.19,0.0,35.5,196,2014,Marqueston Huff,FS,0.06,DB
456,0.0,14.0,120.0,4.55,0.0,73.0,0.0,7.23,4.5,0.0,31.0,198,2014,Allen Hurns,WR,0.1,WR
458,0.0,19.0,114.0,4.66,0.0,72.0,0.0,0.0,0.0,0.0,34.5,230,2014,Carlos Hyde,RB,0.34,RB
460,0.0,22.0,103.0,5.13,0.0,76.0,0.0,7.3,4.37,0.0,26.0,304,2014,Gabe Ikard,C,1.0,OL
461,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,254,2014,Andrew Jackson,ILB,0.0,LB
463,0.0,30.0,108.0,5.51,0.0,75.0,0.0,8.25,4.78,0.0,29.0,336,2014,Gabe Jackson,OG,0.09,OL
464,0.0,15.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,269,2014,Nic Jacobs,TE,0.25,TE
465,0.0,22.0,103.0,5.34,0.0,78.0,0.0,7.42,4.56,0.0,29.0,311,2014,Ja'Wuan James,OT,0.28,OL
467,0.0,20.0,123.0,4.42,0.0,75.0,0.0,6.64,3.98,0.0,37.5,219,2014,Jeff Janis,WR,0.0,WR
468,0.0,13.0,128.0,4.61,0.0,75.0,0.0,0.0,4.33,0.0,41.5,218,2014,Stanley Jean-Baptiste,CB,1.0,DB
469,0.0,18.0,123.0,4.63,0.0,75.0,0.0,6.97,0.0,0.0,36.0,247,2014,Jackson Jeffcoat,DE,0.31,DL
474,0.0,16.0,118.0,4.6,0.0,72.0,0.0,0.0,0.0,0.0,35.5,209,2014,Storm Johnson,RB,0.25,RB
476,0.0,0.0,115.0,4.74,0.0,75.0,0.0,0.0,0.0,0.0,33.5,240,2014,Christian Jones,ILB,0.0,LB
482,0.0,14.0,124.0,4.55,0.0,68.0,0.0,7.26,4.4,0.0,37.5,184,2014,Lamarcus Joyner,CB,0.19,DB
483,0.0,23.0,113.0,4.7,0.0,75.0,0.0,7.25,4.32,0.0,30.0,249,2014,Devon Kennard,OLB,0.31,LB
485,0.0,16.0,122.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,32.0,233,2014,Christian Kirksey,OLB,0.0,LB
486,0.0,21.0,96.0,5.59,0.0,79.0,0.0,7.71,4.84,0.0,27.5,322,2014,Cyrus Kouandjio,OT,0.12,OL
487,0.0,24.0,127.0,4.7,0.0,72.0,0.0,0.0,0.0,0.0,36.5,207,2014,Kenny Ladler,FS,0.5,DB
488,0.0,12.0,110.0,4.77,0.0,71.0,0.0,0.0,0.0,0.0,28.5,205,2014,Jarvis Landry,WR,0.0,WR
490,0.0,23.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,215,2014,Cody Latimer,WR,0.09,WR
491,0.0,20.0,113.0,4.8,0.0,75.0,0.0,7.46,0.0,0.0,34.5,251,2014,Demarcus Lawrence,DE,0.21,DL
492,0.0,16.0,120.0,4.48,0.0,69.0,0.0,7.12,4.4,0.0,33.0,190,2014,Nevin Lawson,CB,0.29,DB
493,0.0,0.0,127.0,4.52,0.0,72.0,0.0,0.0,4.01,0.0,38.0,192,2014,Marqise Lee,WR,0.19,WR
497,0.0,29.0,117.0,4.87,0.0,79.0,0.0,7.39,4.49,0.0,30.5,309,2014,Taylor Lewan,OT,0.19,OL
499,0.0,30.0,100.0,5.35,0.0,78.0,0.0,0.0,0.0,0.0,26.5,311,2014,Brandon Linder,OG,0.33,OL
500,0.0,36.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,27.0,296,2014,Corey Linsley,C,0.31,OL
502,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,320,2014,Spencer Long,OG,0.03,OL
503,0.0,12.0,119.0,4.65,0.0,71.0,0.0,7.15,4.35,0.0,32.5,217,2014,Craig Loston,SS,0.03,DB
510,0.0,23.0,128.0,4.65,0.0,75.0,0.0,7.08,4.18,0.0,40.0,251,2014,Khalil Mack,OLB,0.0,LB
513,0.0,0.0,113.0,4.68,0.0,72.0,0.0,6.75,4.03,0.0,31.5,207,2014,Johnny Manziel,QB,0.22,QB
514,0.0,14.0,108.0,4.89,0.0,76.0,0.0,7.08,0.0,0.0,32.0,252,2014,Cassius Marsh,DE,0.69,DL
515,0.0,22.0,129.0,4.72,0.0,78.0,0.0,7.2,0.0,0.0,35.5,272,2014,Kareem Martin,DE,0.19,DL
516,0.0,23.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,320,2014,Marcus Martin,C,0.25,OL
517,0.0,29.0,106.0,0.0,0.0,76.0,0.0,7.65,4.59,0.0,28.0,308,2014,Zack Martin,OT,0.0,OL
518,0.0,0.0,126.0,4.5,0.0,68.0,0.0,0.0,4.15,0.0,38.5,207,2014,Tre Mason,RB,0.12,RB
521,0.0,21.0,120.0,4.46,0.0,75.0,0.0,6.95,4.18,0.0,35.5,212,2014,Jordan Matthews,WR,0.04,WR
522,0.0,21.0,116.0,5.21,0.0,78.0,0.0,7.43,0.0,0.0,32.0,271,2014,Josh Mauro,DE,0.09,DL
524,0.0,27.0,97.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,20.5,352,2014,Daniel McCullers,DT,0.19,DL
525,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,196,2014,Dexter McDougle,CB,0.5,DB
526,0.0,0.0,129.0,4.51,0.0,75.0,0.0,7.29,4.18,0.0,39.0,211,2014,Keith McGill,CB,0.22,DB
527,0.0,32.0,132.0,4.41,0.0,69.0,0.0,6.83,4.12,0.0,40.5,209,2014,Jerick McKinnon,RB,0.12,RB
528,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,224,2014,Zach Mettenberger,QB,0.19,QB
529,0.0,28.0,101.0,5.37,0.0,78.0,0.0,7.79,4.64,0.0,26.0,309,2014,Jack Mewhort,OT,0.12,OL
532,0.0,0.0,117.0,4.63,0.0,71.0,0.0,6.57,4.0,0.0,34.0,192,2014,Terrance Mitchell,CB,0.09,DB
533,0.0,13.0,132.0,4.4,0.0,74.0,0.0,7.02,4.3,0.0,39.5,221,2014,Donte Moncrief,WR,0.12,WR
535,0.0,18.0,117.0,4.8,0.0,73.0,0.0,6.94,4.36,0.0,34.5,241,2014,James Morris,ILB,0.56,LB
537,0.0,0.0,106.0,5.35,0.0,78.0,0.0,7.93,4.95,0.0,21.5,314,2014,Morgan Moses,OT,0.09,OL
538,0.0,0.0,118.0,0.0,0.0,74.0,0.0,7.3,4.4,0.0,35.0,234,2014,C.J. Mosley,ILB,0.0,LB
545,0.0,27.0,114.0,0.0,0.0,78.0,0.0,7.57,4.55,0.0,32.0,270,2014,Troy Niklas,TE,0.46,TE
547,0.0,8.0,121.0,4.48,0.0,74.0,0.0,6.68,4.32,0.0,33.0,198,2014,Kevin Norwood,WR,0.12,WR
548,0.0,23.0,0.0,4.64,0.0,76.0,0.0,0.0,0.0,0.0,30.5,220,2014,Pat O'Donnell,P,0.06,ST
549,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,310,2014,Jeoffrey Pagan,DE,0.06,DL
554,0.0,23.0,102.0,5.23,0.0,76.0,0.0,7.94,0.0,0.0,28.5,332,2014,Mike Pennel,DT,0.0,DL
556,0.0,28.0,128.0,4.51,0.0,72.0,0.0,6.92,4.02,0.0,39.0,232,2014,Kevin Pierre-Louis,OLB,0.23,LB
557,0.0,21.0,114.0,4.65,0.0,75.0,0.0,0.0,0.0,0.0,35.5,237,2014,Ronald Powell,OLB,0.0,LB
558,0.0,10.0,120.0,4.63,0.0,71.0,0.0,6.7,4.23,0.0,31.5,189,2014,Walt Powell,WR,0.19,WR
559,0.0,16.0,0.0,4.45,0.0,70.0,0.0,7.04,4.3,0.0,0.0,200,2014,Jabari Price,CB,0.62,DB
560,0.0,18.0,116.0,4.58,0.0,71.0,0.0,0.0,0.0,0.0,34.5,207,2014,Calvin Pryor,FS,0.09,DB
561,0.0,6.0,120.0,4.61,0.0,71.0,0.0,0.0,0.0,0.0,35.5,190,2014,Loucheiz Purifoy,CB,0.06,DB
564,0.0,22.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,189,2014,Keith Reaser,CB,0.38,DB
565,0.0,18.0,122.0,4.7,0.0,70.0,0.0,0.0,0.0,0.0,37.0,212,2014,Silas Redd,RB,0.06,RB
567,0.0,20.0,106.0,4.91,0.0,74.0,0.0,7.59,0.0,0.0,26.5,302,2014,Caraun Reid,DT,0.23,DL
568,0.0,26.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,245,2014,Trevor Reilly,OLB,0.09,LB
570,0.0,15.0,117.0,4.57,0.0,73.0,0.0,0.0,0.0,0.0,32.5,207,2014,Ed Reynolds,FS,0.0,DB
574,0.0,0.0,124.0,4.4,0.0,72.0,0.0,7.09,0.0,0.0,38.0,175,2014,Paul Richardson,WR,0.47,WR
575,0.0,25.0,106.0,5.1,0.0,75.0,0.0,7.93,4.63,0.0,25.5,298,2014,Weston Richburg,C,0.03,OL
576,0.0,8.0,120.0,4.61,0.0,72.0,0.0,6.84,4.08,0.0,37.5,191,2014,Marcus Roberson,CB,0.38,DB
577,0.0,0.0,127.0,4.6,0.0,74.0,0.0,7.0,4.0,0.0,39.0,220,2014,Allen Robinson,WR,0.19,WR
582,0.0,26.0,126.0,4.49,0.0,69.0,0.0,6.75,4.0,0.0,35.5,209,2014,Bishop Sankey,RB,0.0,RB
583,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,164,2014,Cairo Santos,K,0.0,ST
585,0.0,0.0,105.0,4.97,0.0,76.0,0.0,7.33,4.36,0.0,27.0,228,2014,Tom Savage,QB,0.4,QB
586,0.0,0.0,93.0,5.01,0.0,78.0,0.0,7.62,4.57,0.0,24.0,301,2014,Michael Schofield,OT,0.0,OL
588,0.0,20.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,262,2014,Austin Seferian-Jenkins,TE,0.38,TE
589,0.0,0.0,116.0,4.66,0.0,72.0,0.0,7.07,4.33,0.0,34.0,206,2014,Connor Shaw,QB,1.0,QB
590,0.0,25.0,130.0,0.0,0.0,73.0,0.0,6.91,4.21,0.0,42.0,237,2014,Ryan Shazier,OLB,0.27,LB
592,0.0,17.0,126.0,4.48,0.0,72.0,0.0,7.16,4.3,0.0,37.5,214,2014,Charles Sims,RB,0.53,RB
593,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,245,2014,Shayne Skov,ILB,0.31,LB
597,0.0,23.0,121.0,4.68,0.0,75.0,0.0,7.48,0.0,0.0,35.0,251,2014,Marcus Smith,DE,0.12,DL
598,0.0,0.0,119.0,4.52,0.0,75.0,0.0,0.0,0.0,0.0,31.5,218,2014,Telvin Smith,ILB,0.12,LB
599,0.0,11.0,113.0,4.62,0.0,71.0,0.0,7.19,4.39,0.0,33.5,195,2014,Willie Snead,WR,0.06,WR
602,0.0,24.0,116.0,4.95,0.0,76.0,0.0,6.64,4.15,0.0,32.0,250,2014,Tyler Starr,OLB,0.81,LB
603,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,314,2014,Anthony Steen,OG,0.06,OL
604,0.0,25.0,103.0,5.25,0.0,77.0,0.0,0.0,0.0,0.0,30.5,309,2014,Shamar Stephen,DT,0.69,DL
606,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,287,2014,Ed Stinson,DE,0.21,DL
607,0.0,22.0,105.0,5.17,0.0,76.0,0.0,8.16,4.63,0.0,27.5,306,2014,James Stone,C,0.25,OL
608,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,315,2014,Bryan Stork,C,0.31,OL
609,0.0,0.0,124.0,4.55,0.0,75.0,0.0,6.89,4.01,0.0,37.0,198,2014,Devin Street,WR,0.0,WR
610,0.0,25.0,102.0,5.04,0.0,76.0,0.0,7.6,4.44,0.0,25.0,307,2014,Xavier Su'a-Filo,OG,0.19,OL
611,0.0,18.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,210,2014,Vinnie Sunseri,SS,0.44,DB
612,0.0,24.0,99.0,5.36,0.0,72.0,0.0,7.93,0.0,0.0,28.5,303,2014,Will Sutton,DT,0.21,DL
613,0.0,20.0,95.0,5.28,0.0,77.0,0.0,7.73,4.65,0.0,26.0,312,2014,Travis Swanson,C,0.12,OL
614,0.0,18.0,118.0,4.58,0.0,72.0,0.0,6.88,4.22,0.0,33.0,229,2014,Lorenzo Taliaferro,RB,0.6,RB
616,0.0,8.0,124.0,4.5,0.0,69.0,0.0,0.0,0.0,0.0,32.0,174,2014,De'Anthony Thomas,RB,0.31,RB
620,0.0,28.0,112.0,5.03,0.0,75.0,0.0,7.83,0.0,0.0,29.0,304,2014,Khyri Thornton,DT,0.53,DL
622,0.0,22.0,120.0,4.67,0.0,75.0,0.0,6.89,3.96,0.0,37.5,234,2014,Jordan Tripp,OLB,0.19,LB
624,0.0,25.0,108.0,5.16,0.0,77.0,0.0,7.92,4.71,0.0,28.0,315,2014,Billy Turner,OT,0.12,OL
625,0.0,25.0,0.0,4.93,0.0,75.0,0.0,0.0,0.0,0.0,27.5,310,2014,Trai Turner,OG,0.06,OL
629,0.0,30.0,102.0,5.31,0.0,75.0,0.0,7.55,4.47,0.0,29.0,313,2014,John Urschel,OG,0.19,OL
630,0.0,21.0,112.0,4.71,0.0,75.0,0.0,7.22,4.2,0.0,32.5,243,2014,Kyle Van Noy,OLB,0.5,LB
633,0.0,0.0,128.0,4.38,0.0,69.0,0.0,6.69,4.0,0.0,39.0,189,2014,Jason Verrett,CB,0.38,DB
634,0.0,9.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,193,2014,Jimmie Ward,SS,0.27,DB
637,0.0,22.0,0.0,4.41,0.0,71.0,0.0,0.0,0.0,0.0,0.0,194,2014,Jaylen Watkins,CB,0.16,DB
638,0.0,16.0,126.0,4.43,0.0,73.0,0.0,6.95,4.34,0.0,34.0,211,2014,Sammy Watkins,WR,0.23,WR
639,0.0,29.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,310,2014,Chris Watt,OG,0.38,OL
642,0.0,16.0,120.0,4.54,0.0,69.0,0.0,0.0,0.0,0.0,33.5,225,2014,Terrance West,RB,0.0,RB
643,0.0,19.0,110.0,4.9,0.0,75.0,0.0,7.3,0.0,0.0,29.0,267,2014,Ethan Westbrooks,DE,0.09,DL
649,0.0,16.0,121.0,4.45,0.0,71.0,0.0,7.37,4.25,0.0,35.5,222,2014,Damien Williams,RB,0.0,RB
650,0.0,25.0,120.0,4.66,0.0,73.0,0.0,7.11,4.07,0.0,30.5,246,2014,Avery Williamson,ILB,0.06,LB
651,0.0,10.0,123.0,4.43,0.0,69.0,0.0,7.0,4.21,0.0,37.5,202,2014,Albert Wilson,WR,0.12,WR
655,33.88,17.0,100.0,5.45,10.62,77.0,1.89,7.92,4.84,0.0,23.5,308,2013,Oday Aboushi,OT,0.08,OL
656,32.0,17.0,132.0,4.39,9.5,70.0,1.52,6.89,4.23,0.0,40.0,188,2013,Robert Alford,CB,0.15,DB
657,32.75,0.0,0.0,4.71,10.0,74.5,0.0,0.0,0.0,0.0,0.0,206,2013,Keenan Allen,WR,0.39,WR
659,32.62,15.0,127.0,4.44,10.5,73.0,1.52,0.0,4.13,0.0,35.5,205,2013,David Amerson,CB,0.0,DB
660,30.0,17.0,119.0,4.6,9.0,68.0,1.58,7.15,4.12,0.0,32.0,224,2013,C.J. Anderson,RB,0.23,RB
663,34.0,31.0,112.0,4.71,9.25,77.0,1.64,7.62,4.72,0.0,34.5,306,2013,Terron Armstead,OT,0.2,OL
664,30.0,14.0,120.0,4.34,9.12,68.0,1.45,0.0,4.01,0.0,32.0,174,2013,Tavon Austin,WR,0.08,WR
666,34.75,27.0,0.0,4.95,9.38,75.0,1.74,0.0,0.0,0.0,0.0,312,2013,Alvin Bailey,OG,0.12,OL
667,32.75,11.0,117.0,4.52,9.88,70.0,1.58,6.81,4.09,0.0,34.5,193,2013,Stedman Bailey,WR,0.25,WR
668,34.0,28.0,101.0,5.09,9.5,76.0,1.79,7.7,4.74,0.0,25.5,299,2013,David Bakhtiari,OT,0.04,OL
669,32.62,15.0,118.0,4.66,9.0,70.0,1.59,6.88,4.4,0.0,32.0,214,2013,Montee Ball,RB,0.69,RB
670,33.88,10.0,125.0,4.61,9.25,74.0,1.59,6.97,4.27,0.0,34.0,185,2013,Johnthan Banks,CB,0.06,DB
672,29.62,20.0,122.0,4.52,9.12,69.0,1.6,6.87,4.2,0.0,35.5,196,2013,Kenjon Barner,RB,0.12,RB
673,34.88,25.0,97.0,5.3,10.75,78.0,1.88,8.26,4.96,0.0,22.0,369,2013,T.J. Barnes,DT,0.0,DL
674,32.25,22.0,117.0,4.91,10.25,73.0,1.67,0.0,0.0,0.0,32.5,246,2013,Sam Barrington,ILB,0.52,LB
675,33.5,20.0,110.0,4.84,10.5,75.75,1.67,7.07,4.33,0.0,30.5,262,2013,David Bass,DE,0.0,DL
677,35.5,19.0,109.0,5.2,9.0,77.0,1.76,7.77,4.57,0.0,29.5,323,2013,Nick Becton,OT,1.0,OL
679,28.0,19.0,122.0,4.53,9.38,68.0,1.53,6.91,4.12,0.0,33.5,202,2013,Giovani Bernard,RB,0.19,RB
685,31.25,22.0,131.0,4.38,9.25,71.0,1.56,6.68,4.1,0.0,34.0,206,2013,Josh Boyce,WR,0.12,WR
686,32.0,32.0,104.0,5.14,9.25,75.0,1.67,7.16,4.64,0.0,26.5,310,2013,Josh Boyd,DT,0.47,DL
689,32.5,21.0,116.0,4.58,10.0,72.0,1.61,7.07,4.31,0.0,32.5,241,2013,Arthur Brown,OLB,0.06,LB
691,35.75,0.0,118.0,4.86,9.75,76.12,1.66,7.32,5.0,0.0,31.5,263,2013,Armonty Bryant,DE,0.25,DL
693,30.88,21.0,125.0,4.73,9.75,70.0,1.58,6.85,4.09,2.59,39.0,214,2013,Rex Burkhead,RB,0.12,RB
695,34.75,28.0,0.0,4.75,10.25,76.0,1.63,0.0,0.0,0.0,0.0,276,2013,Tank Carradine,DE,0.69,DL
699,32.0,0.0,117.0,4.41,8.88,72.0,1.53,7.1,4.3,0.0,34.5,216,2013,Sanders Commings,CB,0.94,DB
700,33.0,35.0,108.0,5.07,10.25,74.0,1.73,7.78,4.84,0.0,27.0,311,2013,Jonathan Cooper,OG,0.42,OL
701,33.88,0.0,116.0,4.94,10.0,75.0,1.64,7.12,4.45,0.0,31.5,258,2013,Justice Cunningham,TE,0.06,TE
705,31.5,16.0,127.0,4.51,9.0,71.0,1.56,6.52,4.02,0.0,35.5,186,2013,Will Davis,CB,0.4,DB
709,35.5,0.0,119.0,4.8,10.0,75.75,1.64,7.03,4.51,0.0,33.0,277,2013,Lavar Edwards,DE,0.06,DL
710,33.12,22.0,119.0,4.68,9.12,77.0,1.66,6.92,4.32,0.0,35.5,250,2013,Tyler Eifert,TE,0.41,TE
711,32.62,17.0,118.0,4.54,9.0,70.0,1.57,0.0,0.0,0.0,35.5,208,2013,Matt Elam,SS,0.48,DB
712,31.0,0.0,122.0,4.61,9.38,69.0,1.56,0.0,0.0,0.0,34.0,199,2013,Andre Ellington,RB,0.23,RB
713,31.75,24.0,111.0,4.76,9.75,77.0,1.62,7.08,4.47,0.0,30.5,249,2013,Zach Ertz,TE,0.05,TE
714,33.62,0.0,114.0,4.84,9.75,78.0,1.66,7.07,4.31,0.0,32.0,254,2013,Gavin Escobar,TE,0.04,TE
715,31.88,0.0,123.0,4.58,10.0,73.0,1.63,6.64,4.1,0.0,34.5,207,2013,Josh Evans,FS,0.02,DB
717,33.75,17.0,120.0,4.72,10.88,79.0,0.0,7.49,4.53,0.0,35.5,259,2013,Joseph Fauria,TE,0.56,TE
718,34.5,27.0,116.0,5.05,10.5,79.0,1.7,7.59,4.44,0.0,28.5,306,2013,Eric Fisher,OT,0.06,OL
719,31.75,0.0,106.0,4.92,10.12,75.0,1.68,7.4,4.75,0.0,30.0,297,2013,Sharrif Floyd,DT,0.31,DL
720,36.75,21.0,0.0,5.31,10.5,77.0,1.83,0.0,0.0,0.0,0.0,339,2013,D.J. Fluker,OT,0.1,OL
723,33.0,33.0,113.0,5.14,10.62,80.0,1.76,7.62,4.68,0.0,30.0,308,2013,Reid Fragel,OT,0.38,OL
724,30.0,18.0,115.0,4.49,9.38,70.0,1.54,6.89,4.31,0.0,31.5,205,2013,Johnathan Franklin,RB,0.31,RB
729,35.25,0.0,96.0,5.44,9.5,77.0,1.88,8.11,5.27,0.0,26.5,342,2013,Kwame Geathers,DT,1.0,DL
730,34.0,23.0,110.0,4.96,10.38,78.0,1.73,7.2,4.59,0.0,28.5,281,2013,William Gholston,DE,0.05,DL
732,31.12,15.0,119.0,4.55,9.38,71.0,1.59,7.12,4.4,0.0,30.5,208,2013,Mike Gillislee,RB,0.53,RB
735,32.25,27.0,131.0,4.47,10.0,73.0,1.53,6.71,4.18,0.0,34.0,234,2013,Zaviar Gooden,OLB,0.22,LB
736,36.38,26.0,114.0,4.87,11.0,75.62,1.65,0.0,0.0,0.0,31.0,276,2013,Malliciah Goodman,DE,0.09,DL
737,31.5,13.0,132.0,4.27,8.62,69.0,1.43,0.0,0.0,0.0,0.0,183,2013,Marquise Goodwin,WR,0.38,WR
738,33.62,18.0,125.0,4.5,9.0,75.0,1.53,7.08,4.51,0.0,37.5,244,2013,Chris Gragg,TE,0.62,TE
740,32.12,22.0,125.0,4.47,10.5,71.0,1.5,6.7,4.15,0.0,38.0,201,2013,Dwayne Gratz,CB,0.23,DB
745,33.0,0.0,104.0,5.31,9.5,75.0,1.8,7.59,4.61,0.0,26.0,320,2013,Johnathan Hankins,DT,0.44,DL
752,0.0,0.0,0.0,4.42,0.0,71.12,0.0,0.0,0.0,0.0,0.0,191,2013,D.J. Hayden,CB,0.3,DB
755,33.5,28.0,103.0,5.23,10.25,73.0,1.75,7.49,4.51,0.0,22.5,303,2013,Jordan Hill,DT,0.27,DL
757,32.0,22.0,119.0,4.78,9.0,73.0,1.67,0.0,0.0,0.0,0.0,243,2013,Gerald Hodges,OLB,0.12,LB
761,32.62,22.0,104.0,5.23,10.12,76.0,1.83,7.85,4.7,0.0,26.5,329,2013,Montori Hughes,DT,0.12,DL
762,33.75,38.0,121.0,4.6,10.0,80.25,1.62,7.07,4.51,0.0,34.5,277,2013,Margus Hunt,DE,0.25,DL
763,33.25,0.0,136.0,4.44,9.38,76.0,1.54,0.0,4.33,0.0,39.5,196,2013,Justin Hunter,WR,0.17,WR
764,31.5,12.0,121.0,4.56,9.38,72.0,1.59,6.78,4.2,0.0,33.0,197,2013,Micah Hyde,CB,0.02,DB
