,arms,bench,broad,fortyyd,hands,heightinchestotal,tenyd,threecone,twentyss,twentyyd,vertical,weight,year,Player,Pos,injured_pct,position_group
96,0.0,27.0,120.0,4.77,0.0,75.0,0.0,7.1,4.25,0.0,34.0,255,2015,Kyle Emanuel,OLB,0.06,LB
104,0.0,25.0,0.0,5.01,0.0,78.0,0.0,7.25,4.33,0.0,32.5,306,2015,Jake Fisher,OT,0.09,OL
105,0.0,37.0,0.0,5.31,0.0,78.0,0.0,0.0,0.0,0.0,0.0,329,2015,Ereck Flowers,OT,0.06,OL
106,0.0,28.0,121.0,4.93,0.0,74.0,0.0,7.34,4.4,0.0,36.5,266,2015,Trey Flowers,DE,0.34,DL
107,0.0,23.0,114.0,4.94,0.0,71.0,0.0,7.56,4.4,0.0,33.5,254,2015,Jalston Fowler,FB,0.0,FB
108,0.0,18.0,118.0,4.73,0.0,77.0,0.0,6.83,4.15,0.0,34.5,238,2015,Alani Fua,OLB,0.41,LB
109,0.0,17.0,122.0,4.7,0.0,76.0,0.0,0.0,0.0,0.0,38.5,232,2015,Devin Funchess,WR,0.06,WR
110,0.0,0.0,123.0,4.44,0.0,70.0,0.0,7.07,4.2,0.0,34.5,180,2015,Charles Gaines,CB,0.62,DB
111,0.0,29.0,96.0,5.5,0.0,74.0,0.0,7.66,4.58,0.0,27.0,306,2015,Andy Gallik,C,0.06,OL
113,0.0,22.0,120.0,4.55,0.0,74.0,0.0,7.21,4.27,0.0,37.0,218,2015,Clayton Geathers,SS,0.25,DB
118,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,336,2015,Eddie Goldman,DT,0.34,DL
121,0.0,19.0,126.0,4.52,0.0,73.0,0.0,7.04,4.07,0.0,35.0,215,2015,Melvin Gordon,RB,0.09,RB
122,0.0,21.0,116.0,4.44,0.0,70.0,0.0,0.0,4.33,0.0,33.0,200,2015,Doran Grant,CB,0.06,DB
123,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,297,2015,Hroniss Grasu,C,0.62,OL
125,0.0,21.0,106.0,5.16,0.0,77.0,0.0,8.0,4.7,0.0,29.5,314,2015,Chaz Green,OT,0.88,OL
126,0.0,13.0,119.0,4.49,0.0,77.0,0.0,6.89,4.45,0.0,33.5,237,2015,Dorial Green-Beckham,WR,0.06,WR
127,0.0,0.0,122.0,4.53,0.0,71.0,0.0,6.88,4.12,0.0,36.5,182,2015,Rashad Greene,WR,0.41,WR
130,0.0,12.0,108.0,4.69,0.0,73.0,0.0,7.18,4.41,0.0,33.5,202,2015,Ladarius Gunter,CB,0.03,DB
131,0.0,17.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,222,2015,Todd Gurley,RB,0.19,RB
132,0.0,22.0,121.0,4.72,0.0,77.0,0.0,7.28,4.28,0.0,36.0,246,2015,Obum Gwacham,DE,0.81,DL
140,0.0,0.0,123.0,4.6,0.0,75.0,0.0,7.07,4.16,0.0,35.0,247,2015,Eli Harold,OLB,0.0,LB
146,0.0,16.0,96.0,5.46,0.0,79.0,0.0,8.28,4.87,0.0,28.5,321,2015,Rob Havenstein,OT,0.19,OL
148,0.0,19.0,120.0,4.59,0.0,72.0,0.0,6.68,4.0,0.0,33.5,231,2015,Ben Heeney,ILB,0.41,LB
150,0.0,26.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,254,2015,Jeff Heuerman,TE,0.06,TE
152,0.0,20.0,124.0,4.68,0.0,73.0,0.0,6.78,4.15,0.0,38.0,236,2015,Jordan Hicks,OLB,0.25,LB
163,0.0,0.0,96.0,5.52,0.0,76.0,0.0,0.0,0.0,0.0,25.0,330,2015,Tre' Jackson,OG,1.0,OL
171,0.0,0.0,130.0,4.52,0.0,72.0,0.0,6.79,3.89,0.0,41.5,188,2015,Kevin Johnson,CB,0.31,DB
173,0.0,0.0,147.0,0.0,0.0,73.0,0.0,6.78,3.94,0.0,44.5,199,2015,Byron Jones,CB,0.0,DB
175,0.0,20.0,112.0,4.61,0.0,74.0,0.0,0.0,4.2,0.0,31.5,231,2015,Matt Jones,RB,0.12,RB
177,0.0,19.0,124.0,4.61,0.0,72.0,0.0,0.0,0.0,0.0,38.0,232,2015,Eric Kendricks,ILB,0.09,LB
178,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,253,2015,Hau'oli Kikaha,OLB,0.53,LB
180,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,255,2015,Ben Koyack,TE,0.12,TE
181,0.0,17.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,246,2015,Tyler Kroft,TE,0.06,TE
183,0.0,0.0,118.0,4.42,0.0,72.0,0.0,7.22,4.32,0.0,34.5,208,2015,Jeremy Langford,RB,0.25,RB
186,0.0,0.0,121.0,4.4,0.0,70.0,0.0,6.89,4.07,0.0,35.5,182,2015,Tyler Lockett,WR,0.03,WR
193,0.0,17.0,130.0,4.44,0.0,71.0,0.0,6.83,4.07,0.0,38.0,201,2015,Craig Mager,CB,0.31,DB
194,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,301,2015,Greg Mancz,C,0.56,OL
197,0.0,0.0,121.0,4.52,0.0,76.0,0.0,6.87,4.11,0.0,36.0,222,2015,Marcus Mariota,QB,0.16,QB
199,0.0,30.0,108.0,4.98,0.0,76.0,0.0,7.33,4.47,0.0,30.5,307,2015,Ali Marpet,C,0.19,OL
202,0.0,23.0,112.0,4.85,0.0,76.0,0.0,7.47,4.58,0.0,32.0,259,2015,Lorenzo Mauldin,OLB,0.12,LB
206,0.0,17.0,130.0,4.51,0.0,69.0,0.0,6.8,3.82,0.0,36.0,195,2015,Bobby McCain,CB,0.0,DB
209,0.0,16.0,121.0,4.66,0.0,76.0,0.0,7.21,4.27,0.0,40.5,246,2015,Benardrick McKinney,ILB,0.12,LB
211,0.0,29.0,104.0,5.33,0.0,74.0,0.0,8.2,4.75,0.0,27.0,303,2015,John Miller,OG,0.12,OL
212,0.0,0.0,121.0,4.55,0.0,72.0,0.0,6.97,4.21,0.0,40.5,221,2015,Ty Montgomery,WR,0.34,WR
215,0.0,11.0,109.0,4.61,0.0,68.0,0.0,0.0,4.4,0.0,29.0,193,2015,Marcus Murphy,RB,0.19,RB
219,0.0,26.0,114.0,5.02,0.0,74.0,0.0,7.67,4.69,0.0,34.0,307,2015,Rakeem Nunez-Roches,DT,0.06,DL
220,0.0,24.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,232,2015,Mark Nzeocha,OLB,0.56,LB
222,0.0,25.0,127.0,4.62,0.0,75.0,0.0,7.36,4.19,0.0,39.0,267,2015,Owamagbe Odighizuwa,DE,0.75,DL
223,0.0,23.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,306,2015,Cedric Ogbuehi,OT,0.38,OL
227,0.0,17.0,125.0,4.45,0.0,75.0,0.0,0.0,0.0,0.0,36.5,209,2015,DeVante Parker,WR,0.06,WR
229,0.0,0.0,105.0,5.18,0.0,79.0,0.0,8.01,4.62,0.0,31.0,313,2015,Andrus Peat,OT,0.12,OL
230,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,212,2015,Breshad Perriman,WR,0.5,WR
231,0.0,27.0,113.0,4.78,0.0,71.0,0.0,0.0,0.0,0.0,32.0,236,2015,Denzel Perryman,ILB,0.09,LB
233,0.0,17.0,121.0,4.53,0.0,72.0,0.0,7.08,4.08,0.0,37.5,197,2015,Marcus Peters,CB,0.06,DB
234,0.0,0.0,121.0,4.87,0.0,75.0,0.0,6.91,4.13,0.0,34.0,230,2015,Bryce Petty,QB,0.38,QB
236,0.0,26.0,107.0,5.0,0.0,73.0,0.0,8.0,0.0,0.0,31.0,298,2015,Darius Philon,DT,0.44,DL
237,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,229,2015,Bradley Pinion,P,0.0,ST
241,0.0,17.0,118.0,4.58,0.0,74.0,0.0,0.0,4.37,0.0,38.0,251,2015,MyCole Pruitt,TE,0.0,TE
242,0.0,19.0,110.0,4.78,0.0,72.0,0.0,7.07,4.39,0.0,31.0,240,2015,Hayes Pullard,ILB,0.0,LB
243,0.0,14.0,120.0,4.46,0.0,71.0,0.0,6.83,4.07,0.0,38.0,196,2015,Damarious Randall,FS,0.12,DB
244,0.0,15.0,116.0,4.65,0.0,69.0,0.0,0.0,0.0,0.0,35.5,215,2015,Thomas Rawls,RB,0.19,RB
245,0.0,21.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,245,2015,Shane Ray,DE,0.12,DL
247,0.0,13.0,111.0,4.65,0.0,71.0,0.0,6.74,4.22,0.0,32.0,211,2015,Jordan Richards,SS,0.0,DB
248,0.0,0.0,106.0,5.16,0.0,75.0,0.0,7.57,4.41,0.0,32.5,283,2015,Bobby Richardson,DT,0.06,DL
250,0.0,28.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,324,2015,Corey Robinson,OT,0.09,OL
251,0.0,20.0,121.0,4.61,0.0,75.0,0.0,7.49,4.38,0.0,37.0,245,2015,Edmond Robinson,OLB,0.06,LB
252,0.0,21.0,113.0,4.7,0.0,68.0,0.0,0.0,0.0,0.0,32.0,217,2015,Josh Robinson,RB,0.0,RB
253,0.0,14.0,122.0,4.57,0.0,71.0,0.0,7.1,4.28,0.0,36.5,195,2015,Quinten Rollins,CB,0.09,DB
257,0.0,25.0,119.0,4.75,0.0,76.0,0.0,7.25,4.47,0.0,32.5,269,2015,Ryan Russell,DE,0.56,DL
258,0.0,20.0,120.0,4.65,0.0,74.0,0.0,7.11,4.2,0.0,34.5,240,2015,Jake Ryan,OLB,0.06,LB
259,0.0,23.0,97.0,5.36,0.0,78.0,0.0,7.54,4.58,0.0,29.0,311,2015,Ty Sambrailo,OT,0.47,OL
260,0.0,0.0,123.0,4.56,0.0,74.0,0.0,7.04,0.0,0.0,32.5,209,2015,James Sample,SS,0.88,DB
264,0.0,26.0,130.0,4.44,0.0,72.0,0.0,7.01,4.12,0.0,37.5,201,2015,Josh Shaw,CB,0.06,DB
268,0.0,14.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,199,2015,JaCorey Shepherd,CB,1.0,DB
272,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,226,2015,DeAndre Smelter,WR,1.0,WR
273,0.0,18.0,124.0,4.45,0.0,70.0,0.0,6.96,4.26,0.0,36.0,187,2015,D'Joun Smith,CB,0.75,DB
